review_title,review_date,review_person,ratings,review_text,review_text_pro,review_text_con
Best Company I've worked for thus far,2023-05-08,"Senior Data Analyst in Portland, OR",5,,"Good pay, clarity on pay structure, meaningful work","Extremely high expectations, hard to get promoted within a team"
I have died and gone to heaven,2023-03-22,"Program Manager in New York, NY",5,,"Compensation is nearly 2x my last role. Brilliant talent. Remote flexibility is amazing. Work/life balance is a real priority. Company values of belonging aren't just lip service, they actually carry over in all the little ways, which I've never seen before. Solving challenging and complex problems. I truly do like my job, and would like to stay here for a really really long time.","The vibe is a bit more serious than I expected - people have a really strong commitment to craft, and there's less joking around than I've experienced in past organizations. And (the flip side of the benefits of remote flexibility) it's a bit difficult to feel connected with coworkers given how little I see them IRL (I'm in NYC)"
Great job!,2023-05-06,"Superhost - Property Manager in Napa, CA",5,,I love being a superhost. Very rewarding.,Some months can be slow.
Ok place to work,2023-05-03,"Senior Software Engineer in San Francisco, CA",2,,nice ppl. culture is good,Re-org happens constantly with some decisions that totally doesn't make sense.
"Great company, strong DS team, interesting work. Not so great for DS Managers.",2023-03-23,"Data Science Manager in San Francisco, CA",5,,"It is a great company to work for, very interesting problems to work on, super smart people around.","Great place to be an IC, don't come here looking for a Manager role. Not great career prospects in the management space. The org has been flattened, with managers pushed to do IC work, unless they have at least 8 DS reports (which most rarely do). With hiring slowed down since 2020, managers can't find enough ICs to fill a team."
Fun company to work for,2023-04-25,"Data Scientist in San Francisco, CA",5,,"Great culture, cool problems. Marketplaces are great for data workers",The company is fairly large now
interesting characters,2023-04-01,"Host in San Diego, CA",4,,omg the best part is meeting new people who are on their life's journey and are friendly.,"the biggest challenge is avoiding people that are not good to have in your living space, and then dealing with the situations. I felt uncomfortable 10-15% of the time. some people have excellent success every time though. a lot of it has to do with pricing."
Meh,2023-04-17,"Customer Service Representative (CSR) in Las Vegas, NV",2,,Quick to move up if you know what you're doing,They heavily choose favorites. Management is unreliable
Great place to work,2023-04-12,"Product Manager in San Francisco, CA",5,,"Love the culture, very inclusive",Need a better way to do planning and align on priorities
"Great mission, great company",2023-03-18,"Senior Executive in San Francisco, CA",5,,"People who work there believe deeply in how their work helps to connect the world. Benefits are excellent, company is generally well run.","Remote work means you don't get all the perks of the early days, and you don't feel quite as connected to others."
"Fulfilling, great leadership",2023-03-07,"Software Engineer in San Francisco, CA",5,,"The people are smart without the ego. The leadership is focused on the best customer experience as the number one priority. They adhere to the philosophy that profits will follow, not the other way around.","This is a place that's built by and for extroverts. That doesn't mean you can't fit in as an introvert, but you'll have to work a little harder."
Superhost,2023-03-13,"Host in Tampa, FL",4,,Great exposure to the market looking for places to stay. Support is very helpful.,I haven't experienced any cons.
Reliably Booked,2023-03-29,"Property and Guest Relations Manager in Fort Worth, TX",5,,Make of the opportunity what you'd like to.,No cons for me at this time and after 6 years of hosting and cleaning.
Amazing place to work,2023-04-03,"Experience Designer in San Francisco, CA",5,,Amazing brand and amazing people,Does not reward loyalty very well
Air bnb,2023-04-02,"Property Manager in Seattle, WA",5,,"Good job for students, flexible schedules",Time consuming and a lot of work
