review_title,review_date,review_person,ratings,review_text,review_text_pro,review_text_con
Excellent Training & Development,2023-04-28,"Sales in Tulsa, OK",5,,"The training is intensive, you feel very prepared when you get to the sales floor. The steps of service are something you'll use daily in all areas of life and will use no matter where you go next. The management works to develop you and there is scheduled times throughout the year to touch base and work on that development. If you are mobile, your options within the company are endless! Great place for a young person to work...take the training, the development, the tuition assistance, the stocks, the insurance, etc and make the most of it!","Customers can be nuts...they care about their devices so passionately that when they don't work they are often angry, entitled and abusive."
"Challenging, Rewarding, but ZERO work/life balance. Most satisfying , most difficult and most rewarding job ever.",2014-08-28,Anonymous Employee,4,,"We work with geniuses - in every department, We create innovative products that thrill our customers and create new product categories - who else can say that?","ZERO ZERO ZERO work/life balance. Execs have been saying for YEARS that they understand and will make it better. But in actuality, it gets worse every year! It is obviously top management LIP SERVICE because if they meant it, they could fix it tomorrow. They have hundreds of BILLIONS in the bank. If they REALLY cared about employee work/life balance, they could bring aboard the right number of folks to make that issue dissolve. Sick of hearing the lies. Just don't lie about wanting to fix it, when they clearly DON'T care"
At-Home-Advisor,2015-05-13,"Home Advisor in Lakewood, CO",5,,"The position is at home. The company is AMAZING. There are limitless advancement opportunities. You work with some very cool people and the leadership cares about your development. You may get coaching but you never get battered or belittled. The pay is decent and the benefits include, 401(k) match, stock purchase options, product discounts and discounts on services across many different areas, education assistance, child care assistance, paid vacation, sick time and other time off options, health club Reimbursment or bike cost set off. You get 1.5 time for OT and it's pretty much unlimited as long as you don't exceed 12 hours in a day or 59 total in a week.",The schedule changes every 90 days and you have to bid for your shifts so you never know what you are going to get. This makes it extremely hard to plan your life to far in advance. You are also pretty much assured to work a Saturday or Sunday.
Changing the world (in a small way),2016-01-22,"Software Engineer IV in Cupertino, CA",5,,"Working at Apple means that the things you work on get into the hands of hundreds of millions of people, literally. It's a lot of pressure to get things right and drives one to do the best work of their lives. 2+ years later I'm still blown away by the talent and creativity of people I work with.","It's a lot of work, teams are usually strapped for resources and under pressure to deliver on strict timelines leading to high stress and long hours at certain times during the year."
A Company as Meticulous as Their Products!,2017-03-10,"Specialist in Tempe, AZ",5,,"Competitive Pay, Great Benefits, Amazing People, Great Work, Awesome Opportunities, Excellent Experiences, Great atmospheres in a beautiful store, no matter where you're working!",None! I had one of the best times ever at this company. Hopefully I stay to go on to corporate!
Very well run company. Excellent career growth.,2023-03-10,CAD Engineer - ICT IV,5,,Very good pay and benefits. Management genuinely appreciates good work done. They provide good compensation raises and bonuses to keep you. Leave credits to you fairly. And the stock appreciation does give you some good upside. The employee purchase plan (EPP) is good. Plus they have EPP+ which gives extra money for purchases every three years. The company buys and uses some of the best software packages from vendors and so you are enabled to do a very high quality work using the best software there is.,Very hectic work life. My group has a requirement that nobody can take more time off than 2 weeks at a stretch. But now with remote work arrangements you can work from remote geographies for up to 4 weeks a year and can combine it with vacations. This policy is generally working out well enough so far. The ESPP policy limits you to no more than 10% of your salary to be invested. No matching rewards on ESPP. But the stock appreciation and stability of the stock price probably make up for it.
Great place to work,2023-04-27,"Technical Expert in Danbury, CT",5,,Awesome environment and team. Fun to work here. Always room to grow. Fantastic management team. Great goals and atmosphere.,"It’s still retail at the end of the day. Weekends are mostly always needed, and of course, very busy."
Worst Job Experience EVER !,2023-04-24,"Technical Specialist in Brooklyn, NY",2,,"The pros were the endless resources on the peoples page for all apple employees, learning how to repair technology and troubleshoot infront of customers, and transportation reimbursements. The starting pay in NY for the technical specialist role $22.50 and goes up every 6 months, by the time I resigned I was getting paid $25.75","juvenile working environment, racist managers, retaliation in the work place from managers against employees, multiple sexual harassment investigations against senior managers in the store. A completely awful environment, met with alot of uncomfortable situations."
Apple Retail Store,2023-04-19,"Sales Specialist in Portland, OR",4,,Apple was a surprisingly great company to work for. They offer part-time employees benefits and there are a lot of resources available. The products kind of sell themselves and 90% of the customers you interact with in the store are pleasant.,"No commission. This is a huge one. Apple says it would ruin the culture but I don't believe that. You could divvy up a tiny percentage of total store sales and disperse that evenly throughout every employee in the store. There's a huge push to sell Apple Care and getting customers linked up with the Apple Business Team. Very limited amount of roles within the store and despite what you are told, the path to Corporate is likely 3-5 years no matter how awesome you are. No time off during launch season and the holidays. Working from September through the end of the year was an awful whirlwind. The pay is pretty low. This would be a great job for someone who just graduated High School but for other people with more years of experience in the workforce it's kind of painful."
We are Here to Help,2023-04-28,Mentor,5,,Ability to learn and share experiences with all various lines of business.,Additional queues and responsibilities with no addition to pay.
