review_title,review_date,review_person,ratings,review_text,review_text_pro,review_text_con
Great Place to Work,2023-02-28,"Seasonal Brand Ambassador in New York, NY",5,,Super friendly managers and fellow coworkers Snacks are always available!!,I don’t have any cons
Company isn't what it used to be,2023-04-14,"Keyholder/Floor Leader in New York, NY",1,,Free snacks you meet great people there free shoes and clothes,Worked here prior to the pandemic and during the pandemic and wow this place has gone done the drain. They had such amazing leaders to begin with but once they brought in a whole new team to change the direction of the company everything went to crap. They opened up way too many stores that now some stores are understaffed and you have to do so much more work when the pay is not worth it. Incompetent managers have been brought in and pretty much don't know how to handle the team and they cause drama. Theres no room for growth there at all most leaders in the stores are all Caucasian no diversity in upper management. Store Associates are constantly over worked all they offer you are free snacks and they can't even give people sufficient shifts to make a living. I've witnessed this place at its highest and its going to continue to trend downward. Honestly avoid working here the few shifts and the stress they give you aren't worth it at all.
"Pay was ok, not a good culture in the data team.",2023-03-11,"Data Scientist in San Francisco, CA",3,,Great company. Great values. Sustainable. Leading the future in this industry. Good culture.,Not a great technical team nor leaders in the technical side.
Start-Up Company Work load for average pay,2023-03-06,"Sr Supply Chain Analyst in San Francisco, CA",3,,Wear multiple hats Great exposure to leadership,"Over worked, risk of burning out No bonus"
"Great for PT, maybe not ideal for longterm",2023-02-08,"Brand Ambassador in Austin, TX",4,,"- great team - great mission, you feel like you’re making a difference - free pairs of shoes each quarter or from go-back bun if not resealable - discount on apparel",- lack of benefits - lack of OT opportunities - management tends to hire from outside network rather than promote from within
Incredible Company,2023-02-16,Anonymous Employee,5,,Has a small business feel while not being one and really focuses on employees well being and growth. One of the best retail companies to work for.,"The shoe boxes are pretty slick and sharp, but may have changed since."
Best Retail Experience,2023-02-20,"Floor Leader in Century City, CA",4,,"Easy going, free shoes and good benefits",Currently no solid management team
Very good workplace,2023-01-26,Retail Ambassador,5,,"Very fun and friendly environment. None of my coworker or managers are mean. Everyone on the team knows how to have fun, but still be professional about it.","Some customers that come in can be very rude, but thats the cons about working retail."
Retail Sales Associate,2023-02-02,"Retail Sales Associate in Washington, DC",5,,Employee Discount for part-time workers,There are no cons to this job
GREAT ENVIORNMENT,2023-01-23,"Accounting Manager in San Francisco, CA",5,,Amazing senior staff. Very flexible with any needs and wants. Lovely enviornment to work in.,Stressful quotas that need to be met.
