review_title,review_date,review_person,ratings,review_text,review_text_pro,review_text_con
"Great mission, improving culture",2022-05-17,"Senior Program Officer in Seattle, WA",5,,Opportunity to work with amazing people on some complex and important global and domestic challenges.  Increasingly intentional focus on inclusive culture and equitable partnerships.,"Hectic and political work environment, and priorities are still set from the top so a lot of time spent managing up."
Great benefits,2023-04-03,"Senior Business Analyst in Seattle, WA",5,,"Fun team environment, great benefits","Sometime ambiguous job duties, need better role clarity"
Great work but poor management,2023-02-05,"Program Officer in Seattle, WA",3,,Lots of smart talented people who are trying to move the needle in the best way they know and can.,"Upper management skews towards private sector backgrounds - management consulting, big pharma and may not have the technical expertise or insights to lead global health or development work."
Great mission,2023-03-14,"Senior Program Officer, Global Health in Seattle, WA",4,,Amazing working on great mission. Extremely fulfilling.,"Demanding job, but not really a con for someone who is driven."
"No heart, no soul",2022-07-01,"Senior Program Officer in Seattle, WA",2,,Access to resources to invest in important areas,"Constant layoffs and turnover due to consultant-driven strategy changes every couple of years. Institution does not care about employees, no effort to grow or retain, sees no value in institutional knowledge or mature relationships with partners and grantees. No logic, no values to layoffs. Behind the times in many areas because listening to consultants with no content expertise rather than technical experts on staff. Despite the rhetoric, extremely risk averse in grant-making. Delegation of authority (everything above 5 M needs approval at the Presidential level) leads to huge bottlenecks and very slow process--approx. 1 year to make a grant... whether it's for 5 million or 30 million--despite the fact that they obsess about strategy, have yearly portfolio reviews, etc."
strong mission but difficult culture,2022-11-17,"Anonymous Employee in Seattle, WA",3,,"Mission, salary, amazing benefits, almost unparalleled opportunity for global impact, network, access to major field leaders","competitive culture, bureaucracy, cookie cutter mold for internal success and advancement, lack of diversity in leadership, not enough time for true innovation and collaboration, pays lip service only to employee reported burnout. Lots of flux right now with governance changes and what it will mean for the organization's future mission and culture."
Program Officer,2023-01-29,"Associate Program Officer in Washington, DC",4,,"Benefits, working with smart people",Confusing org structure and a lot of ambiguity
great pay and benefits; each team has a different culture,2022-01-16,"Senior Program Officer in Seattle, WA",4,,"Pay and benefits are fantastic. These include six months of paid parental leave (although it used to be a full year) and a contribution to one's retirement fund of 15% your salary. In effect, this means that compensation is 15% higher that the salaries you see quoted. Also, if you work and live in Washington state, there's no state income tax. They have some very talented and experienced people at the foundation, and the mission, of course, is a very fulfilling and meaningful one. The foundation also has a very good reputation in most places, so it's a good line on one's resume, and contacting people with a foundation email address helps a lot in getting responses.","Ultimately it's Bill and Melinda who make the decisions. They are very involved in the work of the foundation, and _a lot_ of effort goes into preparing for presenting work to them, and it can be quite a political place. There's also an annual strategy review for most teams, so a lot of energy goes into preparing for that every year. The culture is very different from team to team. Some are amazing and collegial; others are absolutely poisonous, so ask around and have 1:1 conversations with people there before joining a team."
Great Work for a Great Cause,2022-11-11,"Associate in New York, NY",4,,access to leading research and knowledge base on the most pressing global issues,Politics can be challenging to navigate
"Smartest people, healthy culture, always evolving",2022-09-13,"Program Officer in Seattle, WA",5,,"- Got to define my own role - One of the best supervisors in my whole career - Excellent benefits (15% 403b contribution regardless of employee's contribution, generous medical, dental and vision insurances) - Caring teammates","- Teams and orgs are always evolving, needing lots of readjustment times - Essentially a family Foundation - Not enough visa sponsorship support"
