review_title,review_date,review_person,ratings,review_text,review_text_pro,review_text_con
"Meaningful, mission-oriented work",2023-02-08,Anonymous Employee,5,,100% 401k match Healthcare Vacation,Nothing comes in mind currently
CZI,2022-08-19,Anonymous Employee,5,,"1. Mission driven 2. great culture 3. Talented people , lots to learn from a diverse group.",Nothing major that I can think of.
That's showbiz baby!,2022-12-21,Anonymous Employee,2,,"Very strong benefits and onsite perks. Attracts a lot of people who want to make an impact, so at least you'll all be frustrated together.","CZI is philanthropy theater.   The CEO wants to be and be seen as a philanthropist. This explains many/most decisions, like why she is the CEO, the lack of accountability for failure, reduction in spending *only to increase operating time*, and the empty mission statements that sound good but don't hold up to any scrutiny. (Cure all disease with $50 billion over 80 years? That's the annual NIH budget. Eliminate disparity in academic outcomes? Then why are grants and solutions de-emphasizing outcomes, or outright ignoring them?)  In general, acting like CZI is creating impact is more important than showing impact and learning from mistakes.  (Remainder about the education initiative.)  The principals' attitudes are reflected by most senior leaders.   CZI has spent hundreds of millions (billions?) on an internal program that is no better (and possibly worse!) than alternatives (including the status quo!), yet the response is changing goals and messaging instead of strategy.   There's a lot of circular reasoning; ""the important problems are the ones that can be solved by the solutions we already came up with."" If you ask questions, you get excluded, but if you play along, you get increased scope."
"Flush with resources and good intentions, weak on strategy",2022-11-07,"Director of Engineering in Redwood City, CA",3,,"Vision - CZI has many inspiring goals, and is not afraid to take on very ambitious projects, with little-to-no expectation of generating revenue. Resources - CZI has the resources of a large tech company, and treats its employees as such. Though you're working at a philanthropy, you get many of the perks of a tech company - nice airy offices, the latest equipment, well-stocked kitchens, catered lunches, etc. Talent - CZI has been able to recruit many talented people cutting across a variety of roles, including and especially in software engineering. This is a rare feat for a philanthropy. Work/life balance - Very strong. Many people at CZI have families, and from the beginning the org has been supportive of a good work/life balance. The offices reliably clear out before dinnertime.","CZI has often taken on too much too quickly, and has become a somewhat-bloated organization with too many stakeholders. Due to the easy access to funding, too many new projects get off the ground with insufficient strategic direction or goals. Impressive senior leaders are brought in to fill these gaps in strategy, but they too often aim to solve problems with more hiring. It's a predictible result of an organization with tremendous resources, but without the pressure of having to focus on a sustainable business model."
"Meaningful, mission-oriented work",2023-02-06,Technical Recruiter,4,,working with people who care deeply about the mission,nonprofit so not a fast growing company
N/A,2023-03-27,"Executive Assistant in Redwood City, CA",1,,"The pay was really great, and I met a lot of wonderful people.",Horrible upper management and middle management
You’ve been warned,2022-09-12,Manager,2,,"Good mission - to prevent or cure all diseases in the next 100 years Full 401k match Daily lunch catering Flexible WFH policy Paid parking Great benefits: learning & development stipend, bereavement, parental leave, etc. Great name on your resume","Highly toxic environment. Like many, I was drawn to the organization for their mission to impact the world, but quickly learned this is not a good place to be. Don’t say you haven’t been warned. Everyone at the company seems dead inside and there’s no culture here because everyone is too afraid to be themselves. Management openly talks bad about other employees. Constant reorgs and firing. Unending bureaucracy. If you enjoy 24/7 politics and watching your back with every move you make, this could be the place for you! It’s too bad because there are a lot of highly accomplished, intelligent people at the company and there’s potential if the environment wasn’t so terrible."
Do Your Best Work For a Better Future,2022-04-01,UX Researcher,5,,"The focus at CZI is really on being empowered to make your work as impactfully as possible. It is a privilege to have your goal truly be doing your best work and growing in your field and not generating a profit. You get to work with brilliant people who celebrate each other as much as the work they do. CZI works hard to provide competitive salaries and benefits. They are always striving to be an industry leader in terms of benefit and compensation strategies. You are supported as a whole person, not just a worker, and that means a lot - generous vacation, support with your life goals, support for those with children, and benefits around supporting a whole you. There is work going on to truly ""walk the walk"" of our organizational values, but it is a genuine effort to do so and not just lip service you would see at a large corporation.","There is a lot of overcommunication from CZI central, but it is the result of people working hard to design a better work environment for us. Overall, I feel very lucky to work here."
Constant changes and stressful environment,2022-11-09,Director,3,,The pay and benefits are very good for the non-tech jobs compared to other places.,"There are constantly changes - priorities, staffing, structure, budgets, systems - that lead to a lot of miscommunication and stress and people acting out of fear."
Good place to be,2022-10-10,Technical Recruiter,4,,meaningful work. not too big but big enough,not a fast growing company
Great choice!,2022-05-19,Technical Recruiter,5,,"The excellent interview process, Very friendly Teams, Work-Life Balance, Tech Stack Great Recruiting Tools.",None currently I just started
Friendly environment,2022-05-03,"Senior Software Engineer in Palo Alto, CA",4,,Nice people to work with. There are a lot of smart people working there.,Pays a bit less than other similar companies
"Great opportunity, incredible potential, lackluster leadership",2022-03-08,Anonymous Employee,3,,Incredible opportunity and potential to build meaningful relationships with partners and grantees. The funding to go far.,"However, leadership is not keen on how to get to the long-term, and falls short of bringing a clear vision forward"
Good Culture,2021-11-19,Software Engineer,5,,High Impact Work and Good Culture,Nothing that I know of
Good,2021-11-18,"Hiring Coordinator in San Francisco, CA",5,,Growth and opportunity to learn,Fast pace environment all the time
Cliques everywhere,2022-01-25,Anonymous Employee,1,,401k match with immediate vesting schedule show up in search results for FAANG/MANGA,Cliquey culture No pay raise Moving goal posts They can and will let go of a whole team without cause
Amazing,2021-08-13,Senior Software Engineer,5,,Amazing place to work. Extremely fortunate to get to work alongside these amazing folks for the mission.,"I cannot list any cons for this company. It is young, growing, and tenacious. For exciting stuff."
Working and Making a Change,2021-07-13,Anonymous Employee,4,,Amazing place to work! Great opportunities to grow and get involved in the initiatives.,Still operates like a startup with changes happening every now and then.
I love working here!,2021-03-27,Paralegal,5,,Great benefits and pay. This is a mission driven company with a CEO that truly cares. I have a wonderful manager and feel supported each day at work.,"We still have a lot if work to do in terms of DEI. However, I have witnessed a lot of positive change in this area."
Very friendly and comfortable interviewing process,2021-05-06,Associate Hiring,5,,"Company Mission, benefits, employees, leadership","High expectations - however you are very supported. Great company to join if you want to broaden/enhance your skill sets. However, requires a lot of work."
Great mission and talented engineers,2021-05-20,Senior Software Engineer,5,,Everything - won’t go back to profit companies. Really get to focus on engineering and not profit related deadlines.,Can’t think of any cons
Great environment,2021-06-15,Anonymous Employee,5,,"Friendly, passionate, caring, smart, collaborative",Still can work on diversity
"Full of politics, and manager who hold on to their status and just want to kiss up",2021-03-23,"Senior Software Engineer in Redwood City, CA",1,,"nothing good really... it is like if you cannot get into a better company, come here to be mediocre","Like other people say, this company is full of politics. The managers are like mediocre people who cannot get a better job at other companies, so they come here, do a mediocre job, and just try to hang onto their salary and perhaps advance higher and higher, and with higher pay. It is quite low level."
Disrespected and Diminished: White Privilege and Favoritism Abound at CZI,2020-11-10,Manager,2,,"CZI's social mission; most people are there b/c they really care about making a difference in the world Attracts some great talent: some coworkers are amazing and I love them Anniversary bonuses (almost like a retention bonus -- never heard of a foundation offering these!) Full match on 401k Generous charitable giving match Good performance bonus program Decent catered daily lunch (pre-COVID) Other amazing benefits (bereavement leave, fertility, etc.) Good stepping stone to other places Great place to hunker down during a pandemic - generous leave policy, remote work policy & allowance, etc. We do feel thoughtfully taken care of in this respect.","Mark and Priscilla seem to really genuinely care about their philanthropy, even if at times they still need to learn a lot more about the issue areas they are investing in and be more patient with the pace of social change. While they are fast learners and earnest about the work, similar to other ultra high net worth people, they are surrounded by senior “leaders” who are mostly unwilling to tell them the truth because these leaders are terrified of having their projects and budgets cut. And I say leaders in quotes because real leaders would have the courage to stand their ground and have a shred of integrity.  As a result, CZI is a place that is fraught with politics and a scarcity mindset.   While CZI has attracted some amazing talent, they have not figured out how to fully harness it. In part it may be because turnover is very challenging due to the toxic culture -- the most competent people tend to leave because they have other options (except maybe during a pandemic).   BIPOC staff are unhappy -- it sometimes appears as though significantly less experienced / less qualified / less competent white staff are promoted to higher positions, more quickly (often due to the fact that these staff come from families / backgrounds of privilege and are favored by senior staff, but not because of objective criteria), but no one seems to be allowed to name this phenomenon or the specific individuals. Even though we’re not allowed to talk about these exceptions to the rule, these exceptions are precisely what undercut any real chance of creating an equitable workplace at CZI. Plus everyone whispers about these exceptions and generally knows that these folks are not worthy of their titles.  Often it feels as though, because many of these less qualified white staff manage more competent underlings, the white supervisors feel the need to demean these underlings (perhaps out of a sense of insecurity), which includes throwing them under the bus in front of higher-ups and blaming them when things don’t work out as planned. This makes the environment really toxic, uncollaborative, and political.  This breeds and will continue to breed a lot of resentment, fueling an exodus from CZI and the threat of legal action (as evidenced by the very recent racial discrimination claim filed against CZI and made public by a former colleague)."
Unique place to work but good,2021-04-23,"Senior Software Engineer in Redwood City, CA",5,,Unique and exciting projects Good salary,No equity More meetings than other companies
Good,2021-02-25,Lab Manager,4,,Very inclusive work environment and benefits are good,Management can be a little better
Philanthropy meets tech company (education team),2020-10-06,"Manager in Redwood City, CA",5,,"Review for education team, one of 3 CZI initiatives. Foundation like atmosphere merged with Silicon Valley tech startup. North Star grounded in equity for all students, with strong mission driven culture.","Organizational leadership has shifted almost every year, resulting in continually shifting priorities and strategy."
Great place to work,2020-09-15,"Workplace Services Coordinator in Redwood City, CA",5,,CZI is truly a wonderful place to work. Leadership is thoughtful and the benefits continue to increase exponentially as the company matures. I feel like our voices are heard and acted upon.,"There isn't much bad to say, this is the best I've ever had."
