review_title,review_date,review_person,ratings,review_text,review_text_pro,review_text_con
Supplimental Work From Home,2023-04-17,"Counselor in New Orleans, LA",5,,"Self paced, self directed work with user friendly website and colleague support","Lower pay, challenge when clients would benefit from face to face treatment"
Really amazing place to work!,2023-03-28,"Senior Engineer in Mountain View, CA",5,,"Wonderfully friendly group of people! I've made a ton of great friends here. There is a lot of freedom in projects, room to grow. Very open to feedback about code. Managers are all great listeners and really seem to have their employees best interest at heart. The benefits are really great too!","There is very little help from the company with the direction of one's career growth. Also, even though there is usually a lot of freedom to choose what you work on, it's possible to get pigeonholed within a single feature for a long time. I know they are working on fixing both of these issues though, and they're very receptive to feedback."
Very exploitative,2023-04-22,"Therapist in New York, NY",2,,Seeing a range of clients,No protection for late cancels or no-shows . Hourly rate goes down when hours go down. BH sends less clients to force people to work less hours b/c it's cheaper for them.
Easy to use platform,2023-04-10,Anonymous Employee,5,,Very easy to use platform.,Can be difficult to maintain a particular amount of hours per week.
So far so good!,2023-03-14,Software Engineer,5,,"Really welcoming environment. Management will do anything they can to help support staff whether that is with equipment, software, time off, perks, etc. BetterHelp is a company that actually live their values rather than just paying lip service. I feel very fortunate to work here.",Interview process is long (but totally worth it).
Employee review,2023-03-14,"Therapist in Temecula, CA",4,,- Convenient as remote therapist form home. - Reasonably easy to navigate platform in communicating with clients - Flexible workload as much as you choose to add new clients,"- Hourly pay could be better - Few incentives, like paid CEU trainings or licensure reimbursement - Client matching not the best"
BetterHelp review,2023-04-16,"Therapist in Atlanta, GA",2,,Low stress paperwork; good place to improve your skills,"Poor back end office support, poor compensation for training level of therapist"
Below average pay,2023-04-17,"Counselor in Springfield, MO",2,,You quickly get a case load and can get busy fast.,Pay is just not worth the time and effort.
Lack of Boundaries with company and clients,2023-04-11,"Therapist in Los Angeles, CA",1,,You can make your own schedule,"Poor pay, lack of live support, poor boundaries, lack of any knowledge of client information necessary to do good therapy, makes you interact with clients during off hours, cuts you off if you are not available at all times."
I love working here,2023-03-21,"Manager in Mountain View, CA",5,,"the people are amazing, the perks are great",There aren't any cons to working at betterhelp
