review_title,review_date,review_person,ratings,review_text,review_text_pro,review_text_con
Grow therapy,2023-03-06,"Therapist in Los Angeles, CA",5,,"I have nothing bad to say about my experience with Grow Therapy. It allows therapists to do what they love (therapy) while taking care of the administrative stuff that most therapists do not enjoy and as such we are able to focus our energy on the clients rather than worry about billing, credentialing, etc. They are very supportive of their staff and are very prompt to answer any questions you might have. In most instances, the response has been immediately or less than 1/2 hour. They have many events you can attend to get familiar with the software, get to know other staff, and be supported by other therapists as well. I love that they have a social hour that allows us to get to know each other and not feel isolated. I am also enjoying the clients through this platform as they seems to be more committed to their goals and put in the effort.",I wish I could decide when I wanted to get paid. You basically get paid every Monday but I guess that is not a bad thing if you get broke soon :)
Amazing Company,2023-05-05,Revenue Operations Manager,5,,Growing Mission Focussed Pay for the position Growth Opportunity Challenging work Team,Company is having some growing pains as it scales but nothing that would discourage me from recommending it.
Great place,2023-04-21,"LPC Therapist in Dallas, TX",5,,Flexibility is very possible here,"Delayed issue response if after normal work hours, which is understandable"
Great Fit,2023-04-07,Claims Specialist,5,,"It is nice to be apart of a company that is so transparent about all the moving parts and open to ideas. When you see the big picture, it is easy to stay motivated toward the aligned mission.",Patience is needed as with any startup company that wants to mindfully grows.
Amazing culture and mission,2023-03-22,Recruiter,5,,"- I'm really proud to work for Grow - our provider-centric mission guides everything we do - Amazing people - collaborative, supportive, humble - Great work life balance - wellness is the core of our employee experience - Engaging work","As expected, Grow is experiencing some growing pains as we scale. Processes that were working when we were a smaller company needed to be improved upon."
A Dream Come True,2022-12-18,"Licensed Clinical Professional Counselor in Carlsbad, CA",5,,"Contracting with Grow Therapy has been a dream come true for me. I had a 6 month plan to see clients through Grow on weekends and in the evenings, and just 3 weeks after starting to take referrals my private practice is thriving to the point where I am able to leave my very stressful 9-5 job and commit to my private practice full time! Grow has made everything easy! Honestly if I had to do my own marketing, scheduling, and billing I think I would be completely overwhelmed with the administrative side of things and would not be able to so enthusiastically support so many clients. When I first started looking in to contracting with Grow and was reading practitioners' reviews I kept saying to myself this is just too good to be true. I still say this to myself every single day! And then I remind myself that it is really happening!",I wish Grow was able to offer me affordable health insurance.
It's not a myth to love the place you work,2023-01-26,"Technical Recruiter in New York, NY",5,,"- Incredible culture of celebrating wins, uplifting one another, mental health focus, work life balance, companionship - Work that is meaningful and impactful: we are changing an entire industry to create accessibility for all for mental health. Who can't get behind that mission? - Co-founders are incredible human beings who care deeply about each and every employee - Company onsites, meetings and more to make everyone feel a part of it - Really nice optional new york office with free lunch - Mental health block 2 hours every week, unlimited PTO with an enforced minimum. - Ability to own your work and be trusted without any micro management. It doesn't get better than this.",- Not a single con that I can think of.
Flexible and mission driven on mental health,2023-03-09,"Provider Growth Associate in Vista, CA",5,,Working on a dynamic team that is focused on changing the landscape of mental health. We are driven to help therapists and prescribers reach their professional aspirations and helping people use their insurance to find mental healthcare services.,"Growing pains of a start up, the dynamics can be difficult to adjust with."
Excellent work-life balance,2023-02-05,Therapist,5,,You have complete freedom as to how you want to run your practice so you decide your hours of work. Grow makes it very easy to go through the credentialing process and you receive very good support throughout the process too. Platform is user friendly and staff is always ready to assist if you encounter challenges. Support staff is responsive and is eager to implement feedback from therapist when it comes to making improvements to the platform. Great compensation compared to other virtual platforms,The platform could benefit from further simplifying some content
Grow Rocks!,2023-02-18,"Private Practice Therapist in Columbus, OH",5,,"Therapists can set their own schedules (remember, you will be running your own practice. Grow takes care of administrative tasks). Support from other therapists across the nation. Numerous education tools are available to therapists. The company promotes you, at no cost, via Psychology Today. Grow staff members are always available to answer questions. You can reach clients in any and all states in which you are licensed.","Thus far, I see none."
