review_title,review_date,review_person,ratings,review_text,review_text_pro,review_text_con
recommend Twitter 1.0 but not 2.0,2023-04-25,"Data Scientist II in San Francisco, CA",5,,Great people and team in Twitter 1.0,People are too nice and leadership doesn't have a clear vision
"Destroyed - dumpster fire, don’t touch with a ten foot pole",2023-02-08,"Vice President in San Francisco, CA",1,,"This used to be an awesome place to work where leadership respected employees and welcomed feedback. We all worked together for one goal and the good of the team. Was it perfect? No, we should have dispensed with jacks services the first time around and not let him back in. But this was the most authentic place I’ve worked and I learned so much. It was a fantastic company warts and all.","When I quit this hell hole in Nov (yes I left of my own accord) this place was as toxic as you could ever imagine. Elons lack of comms or expertise in social media, his inept management team who’ve never had an original thought in their lives (elon says this, elon says that) spouting absolute nonsense to tenured experts were embarrassing themselves at every turn. Personally I left a huge amount of $$$ on the table because I simply couldn’t bear to spend another minute with this bunch and I absolutely pity the remaining folks who unfortunately are mostly there to keep their visas or because they have financial obligation. If you love to work in an atmosphere of fear, listening to utter tripe come out of leaderships mouths and don’t want to be treated like a human or value any kind of diversity or empathy (or business sense) then this is the place for you."
Elon Musk ruined the company,2023-04-27,"Senior ML Engineer in San Francisco, CA",1,,"Fast paced, good comp, still good reputation in terms of scale","Toxic leadership trickles down to toxic workplace environment. Everybody whispers in the office, and everybody is scared of Elon."
Disappointing Culture for a Junior Fullstack Web Developer,2023-02-27,"Developer in New York, NY",3,,The pay was competitive and many coworkers were very talented and supportive.,"As a junior fullstack web developer at this marketing tech startup, I was hoping for a supportive and innovative culture to grow my skills. Unfortunately, my experience was far from that. The company had a culture of overworking and undervaluing its employees. I often felt like my contributions were not appreciated or recognized. The management team had poor communication skills, and it was challenging to get clear guidance on projects. Moreover, there was a lack of diversity and inclusion within the company. The team was predominantly male and lacked representation from underrepresented groups. Overall, I was disappointed with the culture of this company. As a junior fullstack web developer, I was hoping for a supportive and inclusive environment to grow my skills, but instead, I felt undervalued and underutilized. I would not recommend this company to others."
HR,2023-04-27,"Sr. HR Coordinator in San Francisco, CA",1,,The people and culture was the best I’ve ever experienced,The takeover changed everything that was good about Twitter
"Twitter destroyed, avoid",2023-04-17,Developer Relations Manager,3,,"Good for a chaotic culture, vacuum opportunities","No strategy, plans are fraught and not communicated well. Benefits taken away over time. Hardcore work and hours, sleeping in the office required."
Job review,2023-04-21,"Staff Software Engineer in New York, NY",5,,"Great environment: days off, libations in the office, gym allowance",Too liberal of a work force
"Very technical work, great learnings, No work life balance",2023-03-01,"Senior Software Engineer in San Francisco, CA",3,,"1] The company has fired it's 85% of its engineers. Thus the area of responsibility has increased drastically per person. 2] You start seeing the whole picture instead of the walls of your responsibility when working at this level. 3] Leveled up at least by one notch - senior eng her works at staff level of faang companies, swe 2 works at senior level, and so on.","1] Hostile environment, everyone wonders when will they get fired for no reason 2] The extra work comes without the extra pay"
Terrible place to work,2023-04-23,Chief Executive Officer (CEO),1,,The CEO is hilarious and makes everyone laugh.,The employees are lazy and are sometimes mean to CEO and hurt his feelings.
"If you like Elon, you can work here.",2023-04-17,"Staff Software Engineer in San Francisco, CA",2,,It's similar to any other Elon company.,Job stability is not guaranteed.
